theta       Dist 
245.62       01520.00
246.56       01570.50
247.55       01637.00
248.52       01703.50
249.48       01770.75
250.45       01845.75
251.44       01933.00
252.42       01958.00
253.41       01946.75
254.44       01935.75
255.42       01954.50
256.75       01941.50
257.78       01933.00
258.83       01922.00
259.81       01912.25
260.86       01911.25
261.88       01907.00
262.88       01904.75
263.91       01896.75
264.89       01894.25
265.92       01893.50
266.95       01886.25
267.98       01885.50
268.98       01886.00
270.00       01885.25
271.02       01878.50
272.05       01879.00
273.03       01878.75
274.06       01878.00
275.08       01886.00
276.11       01879.00
277.16       01893.50
278.16       01894.75
279.14       01902.00
280.17       01904.00
281.03       01900.25
282.61       00000.00
283.61       00000.00
284.62       00000.00
285.62       00000.00
286.59       05814.50
286.64       00000.00
288.66       00000.00
289.66       00000.00
290.67       00000.00
291.67       00000.00
292.69       00000.00
293.70       00000.00
294.70       00000.00
295.72       00000.00
296.72       00000.00
297.73       00000.00
298.73       00000.00
299.75       00000.00
300.75       00000.00
301.77       00000.00
302.11       02182.50
303.14       02196.25
304.12       02213.75
305.16       02240.75
306.11       02260.75
307.12       02293.75
308.12       02324.25
309.12       02347.00
310.14       02375.75
311.14       02419.50
312.12       02446.00
313.14       02473.50
314.14       02511.75
315.17       02481.75
316.19       02455.75
317.19       02427.25
318.17       02442.25
319.22       02462.50
320.20       02500.75
321.14       02870.50
322.12       02926.75
323.12       02982.75
324.14       03011.75
325.16       02980.50
326.17       02946.75
327.19       02883.00
328.48       02852.25
329.47       02826.25
330.52       02814.25
331.53       02772.75
332.55       02744.75
333.61       02720.75
334.62       02686.50
335.64       02678.00
336.66       02651.50
337.69       02630.25
338.72       02608.25
339.72       02588.50
340.75       02580.50
341.78       02563.25
342.81       02531.50
343.84       02522.50
344.86       02506.50
345.84       02500.00
346.92       02483.50
347.92       02467.25
348.94       02453.25
349.98       02450.75
350.98       02446.25
352.00       02442.25
353.02       02437.25
354.03       02436.00
355.08       02424.25
356.09       02411.50
357.08       02410.50
358.12       02409.00
359.25       02407.50
0.12       02407.75
1.17       02397.25
2.20       02409.00
3.22       02407.00
4.19       02407.75
5.22       02407.50
6.27       02408.75
7.27       02412.75
8.31       02434.25
9.31       02415.00
10.30       02426.75
11.33       02440.25
12.33       02444.00
13.39       02448.50
14.41       02452.00
15.42       02466.00
16.44       02481.50
17.08       02500.50
18.09       02505.75
19.08       02522.00
20.11       02530.75
21.09       02560.00
22.08       02568.25
23.06       02587.50
24.08       02595.50
25.09       02625.75
26.11       02632.50
27.09       02656.00
28.09       02682.25
29.08       02715.75
30.11       02728.50
31.08       02766.25
32.08       02807.25
33.11       02820.50
34.08       02848.25
35.08       02876.00
36.08       02910.50
37.09       02954.50
38.06       03003.25
39.08       03018.00
40.09       03065.25
41.11       03098.50
42.12       03159.75
43.12       03072.50
44.17       03034.75
45.16       02980.00
46.19       02928.75
47.19       02874.75
48.22       02840.50
49.22       02793.50
50.22       02744.00
51.27       02700.25
52.25       02672.00
53.28       02614.75
54.27       02604.00
