theta       Dist 
83.84       01731.50
84.75       01732.25
85.66       01729.75
86.58       01723.50
87.48       01718.50
88.41       01716.25
89.30       01716.00
90.25       01716.00
91.12       01717.75
92.06       01714.50
92.95       01716.50
93.86       01716.75
94.81       01717.75
95.73       01729.50
96.59       01725.75
97.55       01731.25
98.47       01731.25
99.36       01734.00
100.25       01741.00
101.17       01743.50
101.92       02184.75
102.89       02045.25
103.81       02010.00
104.73       02006.50
105.59       02131.50
106.50       02130.00
107.42       02071.50
108.33       02137.00
109.27       02074.75
110.20       02020.00
111.05       02130.50
111.97       02132.00
112.80       02169.75
113.75       02073.25
114.62       02155.50
115.53       02131.75
116.45       02212.50
117.39       02149.50
118.28       02136.25
119.16       02155.75
120.05       02225.50
120.98       02197.75
121.86       02356.50
122.78       02344.25
123.66       02374.50
124.59       02407.00
125.50       02428.25
126.41       02461.00
127.28       02503.00
128.19       02540.75
129.11       02542.00
130.03       02502.00
130.92       02460.00
131.83       02422.75
132.77       02374.50
133.67       02342.50
134.59       02388.75
135.50       02378.25
136.44       02342.00
137.20       02306.25
138.12       02275.50
139.03       02243.50
140.52       00000.00
140.94       01900.00
141.83       01899.00
142.75       01900.00
144.16       00000.00
144.50       02094.25
145.41       02071.25
146.31       02046.75
147.22       02029.00
148.14       02005.25
149.06       01983.25
149.95       01965.00
151.44       00000.00
152.36       00000.00
152.75       01833.75
154.17       00000.00
155.09       00000.00
155.47       01762.75
156.38       01762.75
157.28       01762.75
158.17       01762.75
159.09       01762.75
160.56       00000.00
161.47       00000.00
162.09       01688.25
163.36       01214.00
164.28       01203.50
165.17       01199.00
166.14       01190.50
167.00       01185.25
167.97       01183.75
168.89       01182.00
169.77       01179.00
170.73       01174.25
171.59       01171.25
172.55       01171.00
173.47       01171.00
174.34       01167.25
175.31       01166.50
176.20       01165.25
177.11       01167.00
177.97       01166.00
178.91       01165.50
179.86       01167.50
180.73       01174.75
181.67       01172.75
182.56       01179.75
183.44       01183.25
184.34       01187.00
185.17       01189.25
186.09       01188.25
186.98       01190.75
187.91       01195.75
188.84       01199.00
189.70       01199.25
190.58       01208.25
191.55       01214.00
192.38       01225.00
193.28       01236.00
194.20       01290.00
195.19       00000.00
195.77       01679.50
196.62       01688.25
197.92       00000.00
198.41       01724.75
199.36       01688.25
200.66       00000.00
201.58       00000.00
202.05       01762.75
202.95       01762.75
203.86       01762.75
204.77       01762.75
205.67       01772.50
207.05       00000.00
207.95       00000.00
208.86       00000.00
209.22       01924.50
210.12       01938.50
211.00       01957.75
211.92       01981.00
212.80       01996.00
213.70       02021.50
214.66       02038.75
215.53       02059.25
216.45       02084.00
217.33       02107.00
218.23       02119.25
219.12       02152.50
220.02       02182.75
220.91       02210.50
221.83       02241.50
222.70       02262.25
223.62       02294.75
224.55       02327.25
225.41       02351.25
226.33       02394.50
227.23       02441.75
228.12       02467.50
229.02       02481.00
229.92       02482.50
230.84       02484.50
231.77       02484.75
232.73       02482.75
233.67       02486.25
234.56       02488.75
235.48       02503.00
236.36       02506.25
237.28       02510.25
238.22       02525.00
239.09       02540.25
240.03       02544.25
240.92       02549.25
241.84       02566.50
242.73       02581.75
243.66       02587.00
244.56       02606.25
245.47       02609.25
246.36       02615.50
247.27       02634.75
248.20       02653.50
249.11       02675.00
250.00       02695.25
250.91       02702.50
251.80       02722.75
252.73       02745.00
253.62       02769.25
254.53       02792.00
255.42       02816.75
256.53       02821.00
257.45       02815.00
258.36       02796.25
259.28       02791.25
260.22       02787.25
261.12       02770.00
262.05       02751.75
262.97       02750.25
263.86       02746.25
264.94       02211.75
265.81       02186.25
266.75       02194.00
267.69       02183.75
268.56       02183.00
269.52       02183.25
270.42       02179.25
271.36       02186.75
272.27       02192.75
273.16       02186.25
274.09       02184.50
275.00       02190.75
275.92       02194.25
276.84       02211.75
277.77       02199.75
278.69       02199.50
279.56       02210.75
280.50       02212.75
281.25       02226.50
282.14       02218.00
283.06       02240.00
283.95       02253.75
284.84       02246.50
285.75       02258.50
286.69       02271.50
287.58       02291.00
288.48       02292.50
